citation_id,source_label,application_type,application_decision,decision_basis,matched_regex_or_rule,matched_text,evidence_excerpt,reference_acceptance,reference_acceptance_matched_rule,reference_acceptance_matched_text
[11],Netherlands - Roosendaal / Saver service area - Saver NV / waste-company guidance,Food-service ware / takeaway packaging,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,"\b(cup|plate|bowl|tray|container|cutlery|fork|spoon|knife|straw|lid|stoviglie|posate|bicchieri|piatti|contenitori|kahvimuki|kertak[äa]ytt[öo]astia|vaisselle|gobelets?|assiettes?|couverts?|vasos?|platos?|cubiertos?)\w*\b.{0,140}\b(compostable|biodegradable|compostabil|biodegradabil|organic|umido|compost|biohajoava|kompostoituva)","container gooit, moeten dit wel compost","kjes. Mag ik ook andere zakjes gebruiken? Natuurlijk mag je ook andere zakjes gebruiken. Als je deze zakjes met je GFT+E-afval in de groene container gooit, moeten dit wel composteerbare zakjes zijn. Let er dus bij het kopen van de zakjes op dat dit logo op de verpakking staat. Geeft Saver naast de PBD- zakken ook com",Collection liners only,"(bioj[äa]te|matavfall|food\s*waste|gft|gfe\+?t).{0,180}(compostable|composteerbare?\w*|biologisch\s+afbreekbare?\w*|biohajoava\w*|komposterbar\w*|paper|papieren?)\s+(bag|liner|pussi|zak|zakje|pose)s?","gft+e-afval in de groene container gooit, moeten dit wel composteerbare zak"
[12],Netherlands - National - VANG-HHA / Rijkswaterstaat-linked guidance / national government guidance,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,theezakjes,"dat ze keihard zijn en niet verteren, toch in de gft-bak. Dit heeft te maken met de algemene regel dat alles wat op het bord ligt, in de biobak mag. Losse thee, theezakjes, koffiedik, koffiefilters en koffiepads Als er een kartelrand aan de buitenzijde van het filterpapier zit, dan zij",Rejected,"(niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?)",hoort niet in de gft-bak? wel/niet gft-afval | q&a: wat mag wel en niet in de gft-bak | juni 2020 --- page 6 --- afvalfractie toelichting speciale composteerbare gft-inzamelzakken qua composteerbare verpakkingen
[12],Netherlands - National - VANG-HHA / Rijkswaterstaat-linked guidance / national government guidance,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,"\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*",composteerbaar en niet-composteerbaar plastic,"n en vervuilt de biobak. Kaaskorst Een kaaskorst bevat vaak plastic. Restafval . Koffiecups, ook composteerbare Koffiecups zijn doorgaans van aluminium of plastic gemaakt. Het verschil tussen composteerbaar en niet-composteerbaar plastic is niet goed te zien. Introductie van de vormvaste composteerbare cup op de wel-l",Rejected,"(niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?)",hoort niet in de gft-bak? wel/niet gft-afval | q&a: wat mag wel en niet in de gft-bak | juni 2020 --- page 6 --- afvalfractie toelichting speciale composteerbare gft-inzamelzakken qua composteerbare verpakkingen
[13],Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,"(?:uitzondering|speciaal\s+gft[- ]?zakje|gft[- ]?zakje|gfe\+?t[- ]?zakje|biozakje|composteerbaar\w*\s+zakje).{0,160}\b(?:mag\s+w[eé]l|mag|toegestaan|gebruiken|gebruik|in\s+(?:de\s+)?gft|in\s+(?:de\s+)?groene\s+container)\b","gft-zakjes met een speciaal keurmerk, zoals het kiemplantlogo of ok compostlogo, mogen in de gft","e langzaam afbreekt en er zitten nog schadelijke stoffen in. Daarom moeten deze producten gewoon bij het restafval. Wat mag dan wél? Alleen gft-zakjes met een speciaal keurmerk, zoals het Kiemplantlogo of OK compostlogo, mogen in de GFT+E-container. Die zakjes zijn speciaal gemaakt om goed mee te composteren, bevatten geen schadelijke stoffen en helpen je bij het scheiden v",Rejected,"(niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?)",niet in de gft+e-bak én ook niet bij het plastic
[13],Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Food-service ware / takeaway packaging,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,"\b(cup|plate|bowl|tray|container|cutlery|fork|spoon|knife|straw|lid|stoviglie|posate|bicchieri|piatti|contenitori|kahvimuki|kertak[äa]ytt[öo]astia|vaisselle|gobelets?|assiettes?|couverts?|vasos?|platos?|cubiertos?)\w*\b.{0,140}\b(compostable|biodegradable|compostabil|biodegradabil|organic|umido|compost|biohajoava|kompostoituva)","container mag? of kom je er met onderstaand lijstje achter dat je per ongeluk jarenlang iets bij je gft+e hebt gegooid, terwijl dat niet mocht? compost","vaak zonder dat we het doorhebben. GFT+E is de afkorting voor Groente-, Fruit-, Tuinafval en Etensresten. Weet jij wat er niet in je GFT+E-container mag? Of kom je er met onderstaand lijstje achter dat je per ongeluk jarenlang iets bij je GFT+E hebt gegooid, terwijl dat niet mocht? Composteerbare producten Je zou denken dat spullen zoals composteerbaar wegwerpbestek of biologisch afbreekbare verpakkingen juist wél in de GFT+E-",Rejected,"(niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?)",niet in de gft+e-bak én ook niet bij het plastic
[13],Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,theezakjes,"aar er kunnen schadelijke stoffen in zitten. Die maken het compost onbruikbaar. Gooi as daarom altijd bij het restafval. En hoe zit het met theezakjes? Die mochten een tijd wel bij het GFT+E, toen weer niet vanwege plastic, en nu weer wel – verwarrend, hè? Gelukkig is het nu duidelijk: the",Rejected,"(niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?)",niet in de gft+e-bak én ook niet bij het plastic
[13],Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,"\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*",composteerbaar wegwerpbestek of biologisch afbreekbare verpakkingen juist wél in de gft+e-container mogen. maar dat is niet zo. composteerbaar plastic,"t je per ongeluk jarenlang iets bij je GFT+E hebt gegooid, terwijl dat niet mocht? Composteerbare producten Je zou denken dat spullen zoals composteerbaar wegwerpbestek of biologisch afbreekbare verpakkingen juist wél in de GFT+E-container mogen. Maar dat is niet zo. Composteerbaar plastic hoort níet in de GFT+E-container. Het breekt te langzaam afbreekt en er zitten nog schadelijke stoffen in. Daarom moeten deze producten gew",Rejected,"(niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?)",niet in de gft+e-bak én ook niet bij het plastic
[14],Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,\b(sac[s]?\s+(compostable|biod[ée]gradable)|sacco\s+compostabile|sacchetti\s+compostabil\w*|bolsa\s+compostable|bolsas\s+compostables|sacos?\s+compost[áa]veis|kompostierbare?\w*\s+(beutel|t[üu]ten|biobeutel)|composteerbare?\w*\s+(zak|zakken|zakjes)|biozak\w*|bioposer|matavfallsp[åa]sar|bioavfallsp[åa]sar|bioj[äa]tepussi|vre[čc]ke|worki|s[áa][čc]ky)\b,composteerbare zakjes,"n, pluizen Kattenbakvulling (ook biologisch afbreekbare) Poep en mest van grote dieren (hond, paard, koe et cetera) Hondenpoep, ook niet in composteerbare zakjes Overig Plastic/plastic zakken Zakken van textiel Bewaarbakjes Geen enkel soort metaal Glas Grote stukken papier of karton Bioplastic/compos",Rejected,"(niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?)","niet bij gft keukenafval frituurvet en olie kaaskorsten kauwgom koffiecups, ook composteerbare verpakkingen"
[14],Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,theezakjes,"t, kliekjes Groente-, fruit- en snijresten en schillen Jus en bakvet (gestold) Koekjes, snoep, chocolade, noten, pitten, snacks Losse thee, theezakjes, koffiepads en koffiedik (het papieren filter mag er ook bij) Notendoppen, (mossel)schelpen en eierschalen Zuivelproducten zoals kaas Aarda",Rejected,"(niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?)","niet bij gft keukenafval frituurvet en olie kaaskorsten kauwgom koffiecups, ook composteerbare verpakkingen"
[14],Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Food-soiled paper / fibre packaging,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,"\b(napkin|paper\s*towel|pizza\s*box|paper\s*bag|cardboard|kitchen\s*towel|keukenpapier|talouspaperi|lautasliinat|k[üu]chenpapier|paper\s+napkin|carton|serviette)s?\b.{0,140}\b(compost|organic|food waste|biowaste|biotonne|gft|bioj[äa]te|brown\s+bin)\b","keukenpapier, servetten, wc-papier, papieren zakdoekjes niet bij gft","n, hamster) met hun poep Overig Composteerbare GFT-inzamelzakken met kiemplant-logo Papier gebruikt om bijv. etensresten op te vegen, zoals keukenpapier, servetten, wc-papier, papieren zakdoekjes Niet bij gft Keukenafval Frituurvet en olie Kaaskorsten Kauwgom Koffiecups, ook composteerbare Verpakkingen van wat voor materiaal dan ook Fijn tuinafva",Rejected,"(niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?)","niet bij gft keukenafval frituurvet en olie kaaskorsten kauwgom koffiecups, ook composteerbare verpakkingen"
