citation_id,source_label,indicator,assigned_category,matched_regex_or_rule,matched_text,evidence_excerpt,coding_basis
[3],Germany - Munich - AWM München / municipal sorting rule,Source Authority,Municipal sorting rule,,,Germany - Munich - AWM München / municipal sorting rule | Menü | https://www.awm-muenchen.de/abfall-entsorgen/abfalllexikon/detailansicht-lexikoneintrag/bioabfall,source_label_priority
[3],Germany - Munich - AWM München / municipal sorting rule,Stated Organic-waste Treatment Route,Treatment route not stated,\b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b,bioabfall,ich - AWM München / municipal sorting rule | Menü | https://www.awm-muenchen.de/abfall-entsorgen/abfalllexikon/detailansicht-lexikoneintrag/bioabfall fahrzeuge Trag- und Ziehhilfen Wertstoffscanner Kleine Einsammelfahrzeuge Eigenes Schulungszentrum für Kraftfahrer Rückwärtsfahrkataster Mü,regex_include_exclude
[3],Germany - Munich - AWM München / municipal sorting rule,Acceptance,Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)","plastiktüten und auch sogenannte ""kompostierbare biobeutel"" dürfen nicht in die biotonne","tsteht beim Vergärungsprozess Ökostrom. Größere Mengen Baum- und Strauchschnitt können Sie an den Münchner Wertstoffhöfen entsorgen. Hinweis Plastiktüten und auch sogenannte ""kompostierbare Biobeutel"" dürfen nicht in die Biotonne! Biotonne In die gebührenfreien Biotonnen sollen Küchen- und Gartenabfälle. Mehr Infos Auf dieser Website verwenden wir Cookies Marketing",regex_include_exclude
[3],Germany - Munich - AWM München / municipal sorting rule,Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,kompostierbare,"trom. Größere Mengen Baum- und Strauchschnitt können Sie an den Münchner Wertstoffhöfen entsorgen. Hinweis Plastiktüten und auch sogenannte ""kompostierbare Biobeutel"" dürfen nicht in die Biotonne! Biotonne In die gebührenfreien Biotonnen sollen Küchen- und Gartenabfälle. Mehr Infos Auf dieser",regex_include_exclude
[3],Germany - Munich - AWM München / municipal sorting rule,Rejection Rationale,Reason not explicitly stated,,,,fallback_default
[4],Germany - Hamburg - Stadtreinigung Hamburg / Wirfuerbio guidance,Source Authority,Waste operator or treatment-facility rule,,,Germany - Hamburg - Stadtreinigung Hamburg / Wirfuerbio guidance | Facebook | https://www.wirfuerbio.de/srh/,source_label_priority
[4],Germany - Hamburg - Stadtreinigung Hamburg / Wirfuerbio guidance,Stated Organic-waste Treatment Route,AD/biogas + composting,"\b(compost|composting|kompost|compostaggio|compostaje|compostagem|kompostering|kompostointi|kompostiranje|κομποστοποίηση|堆肥|퇴비)\b.{0,180}\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|r[öo]tning|digestate|biog[öo]dsel|biog[øo]dning)\b","kompost sind zudem ein wesentlicher faktor, wenn es um die reduktion des co 2 -ausstoßes geht. aus biomüll wird biogas","rsetzen und wirkt durch seine Nährstoffe positiv auf Pflanzen und Umwelt. Die korrekte Getrenntsammlung von Bioabfällen und der Einsatz von Kompost sind zudem ein wesentlicher Faktor, wenn es um die Reduktion des CO 2 -Ausstoßes geht. Aus Biomüll wird Biogas und Bioenergie In vielen Bioabfallbehandlungsanlagen wird aus dem Bioabfall echte Bioenergie . In einem geschlossenen Raum wird der Bioabfa",regex_include_exclude
[4],Germany - Hamburg - Stadtreinigung Hamburg / Wirfuerbio guidance,Acceptance,Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)",plastik im biomüll. *auch kompostierbare plastiktüten dürfen nicht in die biotonne. kein plastik,amburg / Wirfuerbio guidance | Facebook | https://www.wirfuerbio.de/srh/ Facebook Instagram TikTok YouTube DE EN TR RU Login Kein' Bock auf Plastik im Biomüll. *Auch kompostierbare Plastiktüten dürfen nicht in die Biotonne. Kein Plastik Warum weder Plastik noch „Bioplastik“ in Hamburg in die Biotonne darf. Plastiktüten bestehen meist – salopp gesagt – aus Erdöl und benötige,regex_include_exclude
[4],Germany - Hamburg - Stadtreinigung Hamburg / Wirfuerbio guidance,Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,kompostierbare,ce | Facebook | https://www.wirfuerbio.de/srh/ Facebook Instagram TikTok YouTube DE EN TR RU Login Kein' Bock auf Plastik im Biomüll. *Auch kompostierbare Plastiktüten dürfen nicht in die Biotonne. Kein Plastik Warum weder Plastik noch „Bioplastik“ in Hamburg in die Biotonne darf. Plastiktüten,regex_include_exclude
[4],Germany - Hamburg - Stadtreinigung Hamburg / Wirfuerbio guidance,Rejection Rationale,Slow degradation / residence-time mismatch,"(rottezeit|zersetzungszeit|nicht\s+sicher\s+vollst[äa]ndig\s+biologisch\s+abgebaut|langer\s+dan\s+het\s+proces|proces\s+te\s+kort|te\s+langzaam\s+af|breekt\s+te\s+langzaam|langzaam\s+afbre|biohajoava.{0,80}hidas|hitaan\s+maatumis|ikke\s+brytes\s+ned|brytes\s+ikke\s+ned|inte\s+bryts\s+ner|för\s+långsamt|nedbrytning|분해|퇴비화할|可降解塑料袋.{0,80}降解的速度比厨余垃圾慢)",nicht sicher vollständig biologisch abgebaut,der aber grundsätzlich biologisch abbaubar sein muss. Innerhalb des Produktionsprozesses unserer Anlagen werden auch kompostierbare Beutel nicht sicher vollständig biologisch abgebaut. Die Zersetzungszeit dieser Tüten liegt deutlich über den Produktionszeiten. Wir wollen saubere Komposterde und funktionierende Anlagen für,regex_include_exclude
[5],Germany - Kitzingen district - Landratsamt Kitzingen / regional government guidance,Source Authority,"State, provincial, regional, or canton rule",,,Germany - Kitzingen district - Landratsamt Kitzingen / regional government guidance | Landratsamt Kitzingen | https://www.abfallwelt.de/abfaelle/kompostierbare-biomuellbeutel/,source_label_priority
[5],Germany - Kitzingen district - Landratsamt Kitzingen / regional government guidance,Stated Organic-waste Treatment Route,Treatment route not stated,\b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b,biotonne,"ierbare-biomuellbeutel/ Landratsamt Kitzingen Tourismus Stadt Kitzingen News Tonnen & Abfuhr Übersicht Mülltonnen Übersicht Restabfalltonne Biotonne Papiertonne Windeltonne Restabfallsack Grüngutsack An-, Um- und Abmelden Online-Formulare Mülltonnen An-, Um-, Abmeldung von Abfallbehälter",regex_include_exclude
[5],Germany - Kitzingen district - Landratsamt Kitzingen / regional government guidance,Acceptance,Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)",kunststoffe und verpackungen für pflanzenschutzmittel abfall-abc sammelbeutel aus biologisch abbaubaren kunststoffen verwendung in der biotonne verboten,Holz Metallschrott Hartkunststoffe Textilien und Schuhe Naturkork Speisefett / Speiseöl CDs und Druckerzubehör Reifen Weihnachtsbäume Erntekunststoffe und Verpackungen für Pflanzenschutzmittel Abfall-ABC Sammelbeutel aus biologisch abbaubaren Kunststoffen Verwendung in der Biotonne verboten! Kompostierbare Biomüllbeutel gefährden Verwertung der Bioabfälle Sammelbeutel aus biologisch abbaubaren Kunststoffen sind auch bei uns im,regex_include_exclude
[5],Germany - Kitzingen district - Landratsamt Kitzingen / regional government guidance,Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,kompostierbare,ny - Kitzingen district - Landratsamt Kitzingen / regional government guidance | Landratsamt Kitzingen | https://www.abfallwelt.de/abfaelle/kompostierbare-biomuellbeutel/ Landratsamt Kitzingen Tourismus Stadt Kitzingen News Tonnen & Abfuhr Übersicht Mülltonnen Übersicht Restabfalltonne Biotonn,regex_include_exclude
[5],Germany - Kitzingen district - Landratsamt Kitzingen / regional government guidance,Rejection Rationale,Compost/digestate quality or contamination concern,(mikroplastik|fremdstoff|st[öo]rstoff|vervuiling|verontreiniging|schone\s+compost|kwaliteit|schadelijke\s+stoffen|compostkwaliteit|bodem|meststof|fertilisant|engrais|qualit[ée]|inquinant|퇴비|비료|품질),mikroplastik,"n größeren Teilen im fertigen Kompost vorliegen können. Hinzu kommt noch die Problematik, dass die zersetzten Kunststoffteile weiterhin als Mikroplastik im Kompost verbleiben. Dieser unvollständige Abbauprozess der Sammelbeutel aus biologisch abbaubaren Kunststoffen stellt die Betreiber von",regex_include_exclude
[6],Germany - Landkreis Karlsruhe - Abfallwirtschaftsbetrieb Landkreis Karlsruhe / waste-company guidance,Source Authority,Waste operator or treatment-facility rule,,,Germany - Landkreis Karlsruhe - Abfallwirtschaftsbetrieb Landkreis Karlsruhe / waste-company guidance | Biobeutel | AWB LK KA | AWB LK KA | https://www.awb-landkreis-karlsruhe.de/abfallwirtschaftsbetrieb/abfallverwertung/bioabfall/biobeutel,source_label_priority
[6],Germany - Landkreis Karlsruhe - Abfallwirtschaftsbetrieb Landkreis Karlsruhe / waste-company guidance,Stated Organic-waste Treatment Route,Treatment route not stated,\b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b,bioabfall,ste-company guidance | Biobeutel | AWB LK KA | AWB LK KA | https://www.awb-landkreis-karlsruhe.de/abfallwirtschaftsbetrieb/abfallverwertung/bioabfall/biobeutel Biobeutel | AWB LK KA | AWB LK KA Gehe zum Navigationsbereich Gehe zum Inhalt Leichte Sprache Gebärdensprache Kontakt Suche Menü,regex_include_exclude
[6],Germany - Landkreis Karlsruhe - Abfallwirtschaftsbetrieb Landkreis Karlsruhe / waste-company guidance,Acceptance,Collection liners only,"(?:zul[äa]ssigen?|zertifizierten?)\s+(?:biobeutel|beutel).{0,160}(?:din\s*en\s*13432|keimling|din[- ]?plus|bioabfall)",zulässigen beutel an der zertifizierung din en 13432 bzw. der ganzflächigen bedruckung mit dem keimling,mten Voraussetzungen zugelassen. Dazu müssen diese nach den Anforderungen der neuen Bioabfallverordnung zertifiziert sein: Sie erkennen die zulässigen Beutel an der Zertifizierung DIN EN 13432 bzw. der ganzflächigen Bedruckung mit dem Keimlingsymbol. Zudem müssen sich die Beutel innerhalb von 6 Wochen vollständig in den Verwertungsanlagen abbauen. Das erkennen sie zum Beispiel an,regex_include_exclude_context_checked
[6],Germany - Landkreis Karlsruhe - Abfallwirtschaftsbetrieb Landkreis Karlsruhe / waste-company guidance,Certification and Approval Basis,EN 13432 / OK compost / Seedling,\b(en|din\s*en|uni\s*en|bs\s*en|nf\s*en)?\s*13432\b,din en 13432,ssen diese nach den Anforderungen der neuen Bioabfallverordnung zertifiziert sein: Sie erkennen die zulässigen Beutel an der Zertifizierung DIN EN 13432 bzw. der ganzflächigen Bedruckung mit dem Keimlingsymbol. Zudem müssen sich die Beutel innerhalb von 6 Wochen vollständig in den Verwertung,regex_include_exclude
[6],Germany - Landkreis Karlsruhe - Abfallwirtschaftsbetrieb Landkreis Karlsruhe / waste-company guidance,Rejection Rationale,Compost/digestate quality or contamination concern,(mikroplastik|fremdstoff|st[öo]rstoff|vervuiling|verontreiniging|schone\s+compost|kwaliteit|schadelijke\s+stoffen|compostkwaliteit|bodem|meststof|fertilisant|engrais|qualit[ée]|inquinant|퇴비|비료|품질),fremdstoff,"elassene Biobeutel Seit dem 1. Mai 2025 gelten laut Bioabfallverordnung strengere Vorschriften, um den Eintrag von Kunststoffen und anderen Fremdstoffen in die Umwelt zu reduzieren. # 1 Was ändert sich? Der Bioabfall aus der Biotonne darf bei Anlieferung an der Verwertungsanlage nicht mehr",regex_include_exclude
[7],Germany - Bamberg - Stadt Bamberg / Biomüll municipal sorting rule,Source Authority,Municipal sorting rule,,,Germany - Bamberg - Stadt Bamberg / Biomüll municipal sorting rule | Untermenü | https://www.stadt.bamberg.de/index.php?La=1&mNavID=1829.6&sNavID=1829.450,source_label_priority
[7],Germany - Bamberg - Stadt Bamberg / Biomüll municipal sorting rule,Stated Organic-waste Treatment Route,Treatment route not stated,\b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b,biotonne,"lesen Vorlesen ""Vorlesen"" ist eine Funktion von Drittanbietern. Mehr dazu in unserer Datenschutzerklärung. Aktivieren Inhalt Biomüll In die Biotonne gehören organische Küchen- und Gartenabfälle aus privaten Haushalten. Bioabfälle aus Gewerbebetrieben sind nicht zulässig – unabhängig davo",regex_include_exclude
[7],Germany - Bamberg - Stadt Bamberg / Biomüll municipal sorting rule,Acceptance,Rejected,"(ikke|inte|må\s+ikke|skal\s+ikke|ei|ei\s+saa|ei\s+kuulu).{0,180}(komposterbar\w*|bioposer|bioplast|plast|biohajoava\w*|kompostoituva\w*|muovipakkauk\w*|kertak[äa]ytt[öo]astia)",eintierstreu aus heu u. stroh was darf nicht in die biotonne? katzenstreu problemmüll holz- und kohlenasche kompostierbare und andere plastiktüten alle arten von plast,älle Obstabfälle Schalen von Südfrüchten Salatabfälle Eierschalen Nussschalen Gekochte sowie ungekochte Essensreste Kaffee- und Teefilter Kleintierstreu aus Heu u. Stroh Was darf nicht in die Biotonne? Katzenstreu Problemmüll Holz- und Kohlenasche kompostierbare und andere Plastiktüten alle Arten von Plastik-Verpackungen Kompostierbare Biomüllbeutel oder Zeitungspapier? Kompostierbare Biomüllbeutel – auch Bioplastiktüten oder kompostierbare Ku,regex_include_exclude
[7],Germany - Bamberg - Stadt Bamberg / Biomüll municipal sorting rule,Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,kompostierbare,nsreste Kaffee- und Teefilter Kleintierstreu aus Heu u. Stroh Was darf nicht in die Biotonne? Katzenstreu Problemmüll Holz- und Kohlenasche kompostierbare und andere Plastiktüten alle Arten von Plastik-Verpackungen Kompostierbare Biomüllbeutel oder Zeitungspapier? Kompostierbare Biomüllbeutel,regex_include_exclude
[7],Germany - Bamberg - Stadt Bamberg / Biomüll municipal sorting rule,Rejection Rationale,Compost/digestate quality or contamination concern,(mikroplastik|fremdstoff|st[öo]rstoff|vervuiling|verontreiniging|schone\s+compost|kwaliteit|schadelijke\s+stoffen|compostkwaliteit|bodem|meststof|fertilisant|engrais|qualit[ée]|inquinant|퇴비|비료|품질),störstoff,"ktüten unterschieden werden könne, zum anderen, da der Zersetzungsprozess von Biomüllbeuteln zu langsam von statten geht, so dass diese als Störstoffe im fertigen Kompost in Erscheinung treten. Alternativen zu kompostierbaren Biomüllbeutel Aufgrund der vielfältigen Probleme, die kompostie",regex_include_exclude
[8],Germany - Cologne / Köln - AWB Köln / AVG Niehl Composting Facility / waste-company guidance,Source Authority,Waste operator or treatment-facility rule,,,Germany - Cologne / Köln - AWB Köln / AVG Niehl Composting Facility / waste-company guidance | Zum Inhalt der Seite springen. | https://www.awbkoeln.de/biotonne-fuer-uns,source_label_priority
[8],Germany - Cologne / Köln - AWB Köln / AVG Niehl Composting Facility / waste-company guidance,Stated Organic-waste Treatment Route,Composting,\b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b,composting,Germany - Cologne / Köln - AWB Köln / AVG Niehl Composting Facility / waste-company guidance | Zum Inhalt der Seite springen. | https://www.awbkoeln.de/biotonne-fuer-uns Zum Inhalt der Seite springe,regex_include_exclude
[8],Germany - Cologne / Köln - AWB Köln / AVG Niehl Composting Facility / waste-company guidance,Acceptance,Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)","plastiktüte anschließend in der restmülltonne werfen. achtung: plastiktüten, auch solche die den hinweis ""kompostierbar"" enthalten, gehören in köln nicht in die biotonne","n Zeitungspapier sammeln. Sie können den Bioabfall auch in Plastiktüten sammeln, wenn Sie diese ohne Tüte in die Biotonne entleeren und die Plastiktüte anschließend in der Restmülltonne werfen. Achtung: Plastiktüten, auch solche die den Hinweis ""kompostierbar"" enthalten, gehören in Köln nicht in die Biotonne! Was darf in die Biotonne? In die Biotonne dürfen: alle organischen Abfälle aus der Küche und dem Garten alle Essens- und Speisereste, roh",regex_include_exclude
[8],Germany - Cologne / Köln - AWB Köln / AVG Niehl Composting Facility / waste-company guidance,Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,kompostierbar,"in die Biotonne entleeren und die Plastiktüte anschließend in der Restmülltonne werfen. Achtung: Plastiktüten, auch solche die den Hinweis ""kompostierbar"" enthalten, gehören in Köln nicht in die Biotonne! Was darf in die Biotonne? In die Biotonne dürfen: alle organischen Abfälle aus der Küche",regex_include_exclude
[8],Germany - Cologne / Köln - AWB Köln / AVG Niehl Composting Facility / waste-company guidance,Rejection Rationale,Compost/digestate quality or contamination concern,(mikroplastik|fremdstoff|st[öo]rstoff|vervuiling|verontreiniging|schone\s+compost|kwaliteit|schadelijke\s+stoffen|compostkwaliteit|bodem|meststof|fertilisant|engrais|qualit[ée]|inquinant|퇴비|비료|품질),fremdstoff,"Tonne bei Fehlbefüllung stehen? Im Rahmen der Qualitätssicherung werden ab dem 01.05.2024 Sichtkontrollen im Pilotgebiet durchgeführt. Sind Fremdstoffe in der Biotonne enthalten, wird die entsprechende Biotonne nicht geleert und von der AWB gekennzeichnet. Was ist zu tun, wenn meine Bioton",regex_include_exclude
[9],Netherlands - National - Milieu Centraal / government-backed sorting guidance,Source Authority,National rule or policy,,,Netherlands - National - Milieu Centraal / government-backed sorting guidance | You are here: | https://www.milieucentraal.nl/minder-afval/afval-scheiden/welk-afval-waar/,source_label_priority
