section,indicator,question_answered,category,definition,included_examples,excluded_examples,include_regex_examples,exclude_regex_examples,regex_or_rule_examples,coding_basis,priority_or_mapping_note
Source-level indicator,Stated Organic-waste Treatment Route,What organic-waste treatment route is stated?,Treatment route not stated,"The source does not state a downstream treatment technology such as composting, AD/biogas, or other organic recovery; this includes sources that state only the collection/bin route.","the source gives no downstream treatment technology, even if it may state a collection/bin route",Cases outside the category definition are excluded; see regex/rule examples.,\b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b,No category-specific exclude regex.,INCLUDE: \b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 5; exclusions are evaluated before inclusion for this category.
Source-level indicator,Acceptance,How are compostable packaging/items treated in organic-waste systems?,No clear organics route,No operational or compatible organics route for compostable packaging is identified.,no compatible route for compostable packaging despite organic-waste context,sources with a stated compatible route for some compostable packaging,"\b(no|not|without|lack(?:ing)?)\b.{0,120}\b(organic\s*waste|food\s*waste|biowaste|bio[- ]?waste|organics)\b.{0,120}\b(collection|route|service|infrastructure|facility|treatment|system)\b | \b(no|not|without|lack(?:ing)?)\b.{0,120}\b(industrial\s+composting|composting\s+facility|anaerobic\s+digestion|ad\s+facility)\b | large[- ]?scale\s+composting\s+facilities.{0,120}do\s+not\s+yet\s+exist","\b(accepted|allowed|permitted|can\s+go|may\s+go|suitable|put\s+in|goes\s+in|include[d]?)\b.{0,180}\b(compostable|biodegradable|bioplastic|packaging|serviceware|cup|plate|container|cutlery|bag|liner)\b.{0,180}\b(organic|food\s*waste|green\s*bin|brown\s*bin|compost|biowaste|organics) | \b(compostable|biodegradable|bioplastic|packaging|serviceware|cup|plate|container|cutlery|bag|liner)\w*\b.{0,180}\b(accepted|allowed|permitted|can\s+go|may\s+go|suitable|put\s+in|goes\s+in|include[d]?)\b.{0,180}\b(organic|food\s*waste|green\s*bin|brown\s*bin|compost|biowaste|organics) | compostable\s+packaging\s*\(all\s+must\s+be\s+certified\s+to\s+en\s*13432\)","INCLUDE: \b(no|not|without|lack(?:ing)?)\b.{0,120}\b(organic\s*waste|food\s*waste|biowaste|bio[- ]?waste|organics)\b.{0,120}\b(collection|route|service|infrastructure|facility|treatment|system)\b | \b(no|not|without|lack(?:ing)?)\b.{0,120}\b(industrial\s+composting|composting\s+facility|anaerobic\s+digestion|ad\s+facility)\b | large[- ]?scale\s+composting\s+facilities.{0,120}do\s+not\s+yet\s+exist ; EXCLUDE: \b(accepted|allowed|permitted|can\s+go|may\s+go|suitable|put\s+in|goes\s+in|include[d]?)\b.{0,180}\b(compostable|biodegradable|bioplastic|packaging|serviceware|cup|plate|container|cutlery|bag|liner)\b.{0,180}\b(organic|food\s*waste|green\s*bin|brown\s*bin|compost|biowaste|organics) | \b(compostable|biodegradable|bioplastic|packaging|serviceware|cup|plate|container|cutlery|bag|liner)\w*\b.{0,180}\b(accepted|allowed|permitted|can\s+go|may\s+go|suitable|put\s+in|goes\s+in|include[d]?)\b.{0,180}\b(organic|food\s*waste|green\s*bin|brown\s*bin|compost|biowaste|organics) | compostable\s+packaging\s*\(all\s+must\s+be\s+certified\s+to\s+en\s*13432\)",regex_include_exclude,Priority 1; exclusions are evaluated before inclusion for this category.
Source-level indicator,Acceptance,How are compostable packaging/items treated in organic-waste systems?,Positive-list / listed items only,Only named/listed/approved items may enter the organics stream; generic certification is not sufficient.,"positive list, named item list, approved products list, ministerial annex/list items",generic certification acceptance without a named list/item constraint,"\b(positive\s+list|approved\s+(product|item|list)|accepted\s+product\s+list|whitelist|named\s+items?|specific(?:ally)?\s+approved|only\s+(listed|named|specified|approved)|not\s+on\s+the\s+list|non\s+list[ée]s?)\b | \b(only|solo|seulement|nur|alleen)\b.{0,120}\b(approved|listed|named|specific|official|designated|autoris[ée]s?|zugelassen|goedgekeurd) | arr[êe]t[ée].{0,160}(list|annex|annexe) | les\s+emballages\s+et\s+d[ée]chets\s+non\s+list[ée]s",No category-specific exclude regex.,"INCLUDE: \b(positive\s+list|approved\s+(product|item|list)|accepted\s+product\s+list|whitelist|named\s+items?|specific(?:ally)?\s+approved|only\s+(listed|named|specified|approved)|not\s+on\s+the\s+list|non\s+list[ée]s?)\b | \b(only|solo|seulement|nur|alleen)\b.{0,120}\b(approved|listed|named|specific|official|designated|autoris[ée]s?|zugelassen|goedgekeurd) | arr[êe]t[ée].{0,160}(list|annex|annexe) | les\s+emballages\s+et\s+d[ée]chets\s+non\s+list[ée]s ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 2; exclusions are evaluated before inclusion for this category.
Source-level indicator,Acceptance,How are compostable packaging/items treated in organic-waste systems?,Dedicated/controlled route only,"Acceptance exists only in controlled collection contexts such as events, closed-loop schemes, venues, or dedicated commercial collection.","closed-loop event, dedicated commercial collection, venue-specific serviceware collection",ordinary household brown-bin acceptance,\b(closed[- ]?loop|event|festival|venue|stadium|commercial\s+collection|controlled\s+(system|collection)|dedicated\s+collection|back[- ]?of[- ]?house|food[- ]?service|monocharge)\b,"\b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b.{0,180}\b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery) | \b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery)\w*\b.{0,200}\b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b | (plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)","INCLUDE: \b(closed[- ]?loop|event|festival|venue|stadium|commercial\s+collection|controlled\s+(system|collection)|dedicated\s+collection|back[- ]?of[- ]?house|food[- ]?service|monocharge)\b ; EXCLUDE: \b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b.{0,180}\b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery) | \b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery)\w*\b.{0,200}\b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b | (plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)",regex_include_exclude,Priority 3; exclusions are evaluated before inclusion for this category.
Source-level indicator,Acceptance,How are compostable packaging/items treated in organic-waste systems?,Collection liners only,"Acceptance is limited to food-waste liners, caddy liners, collection bags, or closely equivalent collection aids.","compostable caddy liners, food-waste bags, official collection bags only",general food-service packaging acceptance; broad acceptance,"\b(use|can\s+use|may\s+use|allowed\s+to\s+use|line|pack|collect|wrap)\b.{0,160}\b(compostable|bioplastic|biodegradable|paper)\s+(bag|liner|sack)s? | \b(food[- ]?waste|bio[- ]?waste|organic\s*waste|kitchen\s*caddy)\b.{0,160}\b(compostable|biodegradable|paper)\s+(bag|liner|sack)s? | \b(compostable|biodegradable|paper)\s+(bag|liner|sack)s?\b.{0,160}\b(food[- ]?waste|bio[- ]?waste|organic\s*waste|kitchen\s*caddy|brown\s+bin) | (bioj[äa]te|matavfall|food\s*waste|gft|gfe\+?t).{0,180}(compostable|composteerbare?\w*|biologisch\s+afbreekbare?\w*|biohajoava\w*|komposterbar\w*|paper|papieren?)\s+(bag|liner|pussi|zak|zakje|pose)s?","\bcompostable\s+packaging\b.{0,180}\b(accepted|allowed|permitted|can\s+(?:also\s+)?be\s+placed|can\s+go|may\s+go|put\s+in|place\s+in)\b.{0,120}\b(brown\s+bin|green\s+bin|organic\s+waste|organics|biowaste|food\s+waste|compost(?:ing)?\s+bin) | \b(accepted|allowed|permitted|can\s+(?:also\s+)?be\s+placed|can\s+go|may\s+go|put\s+in|place\s+in)\b.{0,180}\b(compostable\s+packaging|compostable\s+take[- ]?away|compostable\s+serviceware|compostable\s+food[- ]?service|compostable\s+(cups?|plates?|bowls?|containers?|cutlery|trays?)) | compostable\s+packaging\s*\(all\s+must\s+be\s+certified\s+to\s+en\s*13432\)","INCLUDE: \b(use|can\s+use|may\s+use|allowed\s+to\s+use|line|pack|collect|wrap)\b.{0,160}\b(compostable|bioplastic|biodegradable|paper)\s+(bag|liner|sack)s? | \b(food[- ]?waste|bio[- ]?waste|organic\s*waste|kitchen\s*caddy)\b.{0,160}\b(compostable|biodegradable|paper)\s+(bag|liner|sack)s? | \b(compostable|biodegradable|paper)\s+(bag|liner|sack)s?\b.{0,160}\b(food[- ]?waste|bio[- ]?waste|organic\s*waste|kitchen\s*caddy|brown\s+bin) | (bioj[äa]te|matavfall|food\s*waste|gft|gfe\+?t).{0,180}(compostable|composteerbare?\w*|biologisch\s+afbreekbare?\w*|biohajoava\w*|komposterbar\w*|paper|papieren?)\s+(bag|liner|pussi|zak|zakje|pose)s? ; EXCLUDE: \bcompostable\s+packaging\b.{0,180}\b(accepted|allowed|permitted|can\s+(?:also\s+)?be\s+placed|can\s+go|may\s+go|put\s+in|place\s+in)\b.{0,120}\b(brown\s+bin|green\s+bin|organic\s+waste|organics|biowaste|food\s+waste|compost(?:ing)?\s+bin) | \b(accepted|allowed|permitted|can\s+(?:also\s+)?be\s+placed|can\s+go|may\s+go|put\s+in|place\s+in)\b.{0,180}\b(compostable\s+packaging|compostable\s+take[- ]?away|compostable\s+serviceware|compostable\s+food[- ]?service|compostable\s+(cups?|plates?|bowls?|containers?|cutlery|trays?)) | compostable\s+packaging\s*\(all\s+must\s+be\s+certified\s+to\s+en\s*13432\)",regex_include_exclude,Priority 4; exclusions are evaluated before inclusion for this category.
Source-level indicator,Acceptance,How are compostable packaging/items treated in organic-waste systems?,Accepted broadly,Compostable packaging or multiple compostable item types beyond liners are accepted in the organics stream.,certified compostable packaging/serviceware allowed in green/brown/organics bin beyond liners,"liner-only, positive-list-only, event-only, or unclear rules","\bcompostable\s+packaging\b.{0,180}\b(accepted|allowed|permitted|can\s+(?:also\s+)?be\s+placed|can\s+go|may\s+go|put\s+in|place\s+in)\b.{0,120}\b(brown\s+bin|green\s+bin|organic\s+waste|organics|biowaste|food\s+waste|compost(?:ing)?\s+bin) | \b(accepted|allowed|permitted|can\s+(?:also\s+)?be\s+placed|can\s+go|may\s+go|put\s+in|place\s+in)\b.{0,180}\b(compostable\s+packaging|compostable\s+take[- ]?away|compostable\s+serviceware|compostable\s+food[- ]?service|compostable\s+(cups?|plates?|bowls?|containers?|cutlery|trays?)) | compostable\s+packaging\s*\(all\s+must\s+be\s+certified\s+to\s+en\s*13432\) | compostable\s+packaging\s+and\s+take\s*away\s+items.{0,180}can\s+also\s+be\s+placed\s+in\s+the\s+brown\s+bin","\b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b.{0,180}\b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery) | \b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery)\w*\b.{0,200}\b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b | (plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)","INCLUDE: \bcompostable\s+packaging\b.{0,180}\b(accepted|allowed|permitted|can\s+(?:also\s+)?be\s+placed|can\s+go|may\s+go|put\s+in|place\s+in)\b.{0,120}\b(brown\s+bin|green\s+bin|organic\s+waste|organics|biowaste|food\s+waste|compost(?:ing)?\s+bin) | \b(accepted|allowed|permitted|can\s+(?:also\s+)?be\s+placed|can\s+go|may\s+go|put\s+in|place\s+in)\b.{0,180}\b(compostable\s+packaging|compostable\s+take[- ]?away|compostable\s+serviceware|compostable\s+food[- ]?service|compostable\s+(cups?|plates?|bowls?|containers?|cutlery|trays?)) | compostable\s+packaging\s*\(all\s+must\s+be\s+certified\s+to\s+en\s*13432\) | compostable\s+packaging\s+and\s+take\s*away\s+items.{0,180}can\s+also\s+be\s+placed\s+in\s+the\s+brown\s+bin ; EXCLUDE: \b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b.{0,180}\b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery) | \b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery)\w*\b.{0,200}\b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b | (plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)",regex_include_exclude,Priority 5; exclusions are evaluated before inclusion for this category.
Source-level indicator,Acceptance,How are compostable packaging/items treated in organic-waste systems?,Rejected,"Compostable packaging, compostable plastics, or relevant compostable items are explicitly rejected from organic waste or treated as contamination.","application is rejected, treated as contamination/residual waste, has no accepted route, or is outside a liner/listed-item rule",accepted/conditional applications or unclear cases,"\b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b.{0,180}\b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery) | \b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery)\w*\b.{0,200}\b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b | (plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend) | (niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?)",No category-specific exclude regex.,"INCLUDE: \b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b.{0,180}\b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery) | \b(compostable|biodegradable|bioplastic|bio[- ]?plastic|compostable\s+packag|biodegradable\s+packag|serviceware|cup|cutlery)\w*\b.{0,200}\b(not\s+accepted|not\s+allowed|do\s+not\s+put|don't\s+put|must\s+not|should\s+not|prohibited|rejected|not\s+permitted|not\s+suitable|cannot|can\s*not|can’t|can't|contamination|contaminant)\b | (plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend) | (niet\s+in\s+(de\s+)?gft|mag\s+niet\s+(in|bij)|niet\s+bij\s+(het\s+)?gft|gooi\s+nooit|hoort\s+niet\s+in|niet\s+toegestaan).{0,200}(bioplastic|composteerbaar\w*|biologisch\s+afbreekbaar\w*|verpakking\w*|plastic|wegwerpbestek|borden|bekers|zakjes?) ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 6; exclusions are evaluated before inclusion for this category.
Source-level indicator,Acceptance,How are compostable packaging/items treated in organic-waste systems?,Local decision required,"Acceptance is unclear, locally variable, or fragmented across municipalities/facilities.",depends on municipality/local collector; unclear; locally variable,clear national/municipal/facility rule,\b(var(?:y|ies)|various|depends\s+on|local\s+(rules|conditions|authority)|municipalities\s+decide|case[- ]?by[- ]?case|fragmented|unclear|not\s+clear|not\s+stated|varieert|verschilt|localement|commune\s+par\s+commune)\b,No category-specific exclude regex.,INCLUDE: \b(var(?:y|ies)|various|depends\s+on|local\s+(rules|conditions|authority)|municipalities\s+decide|case[- ]?by[- ]?case|fragmented|unclear|not\s+clear|not\s+stated|varieert|verschilt|localement|commune\s+par\s+commune)\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 7; exclusions are evaluated before inclusion for this category.
Source-level indicator,Acceptance,How are compostable packaging/items treated in organic-waste systems?,No explicit compostable-packaging rule,The source discusses organics/biowaste but does not explicitly address compostable packaging acceptance or rejection.,organics source is relevant but gives no direct compostable-packaging rule,explicit accept/reject/condition language,No direct include regex: category is assigned by fallback/default or derived mapping.,No category-specific exclude regex.,INCLUDE: No direct include regex: category is assigned by fallback/default or derived mapping. ; EXCLUDE: No category-specific exclude regex.,fallback_default,Priority 8; exclusions are evaluated before inclusion for this category.
Intermediate decision input,conditional-acceptance cue,Which gatekeeping condition is attached to acceptance before application and certification-sufficiency mapping?,Local/facility approval required,"Certification is not enough; local authority, collector, or facility approval is also required.","certification plus local authority, collector, facility, or approved-list requirement",certification alone with no local/facility approval cue,"\b(local|municipal|council|collector|hauler|facility|processor|composter|operator|kommune|gemeente|commune|collectivit[ée]|azienda|impianto)\b.{0,120}\b(approval|required|accepted|permitted|check|depends|approved|zugelassen|toegestaan|autoris[ée]|approv|ammess)\b | \b(certification|certified|label|standard)\b.{0,120}\b(and|plus).{0,80}\b(local|facility|municipal|collector|processor)",No category-specific exclude regex.,"INCLUDE: \b(local|municipal|council|collector|hauler|facility|processor|composter|operator|kommune|gemeente|commune|collectivit[ée]|azienda|impianto)\b.{0,120}\b(approval|required|accepted|permitted|check|depends|approved|zugelassen|toegestaan|autoris[ée]|approv|ammess)\b | \b(certification|certified|label|standard)\b.{0,120}\b(and|plus).{0,80}\b(local|facility|municipal|collector|processor) ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 1; exclusions are evaluated before inclusion for this category.
Intermediate decision input,conditional-acceptance cue,Which gatekeeping condition is attached to acceptance before application and certification-sufficiency mapping?,Named certification/standard required,"A named standard, certification, logo, or label is required for accepted items.",EN 13432 required; BPI certified; OK compost required,generic compostable wording without named certification/standard,\b(en\s*13432|ok\s*compost|seedling|keimling|kiemplant|bpi|astm\s*d\s*6400|nf\s*t\s*51[- ]?800|as\s*4736|as\s*5810|bnq|dinplus|t[üu]v\s*austria|compostabile\s*cic|certifi[ée]d?|certificad\w*|certificat\w*)\b,No category-specific exclude regex.,INCLUDE: \b(en\s*13432|ok\s*compost|seedling|keimling|kiemplant|bpi|astm\s*d\s*6400|nf\s*t\s*51[- ]?800|as\s*4736|as\s*5810|bnq|dinplus|t[üu]v\s*austria|compostabile\s*cic|certifi[ée]d?|certificad\w*|certificat\w*)\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 2; exclusions are evaluated before inclusion for this category.
Intermediate decision input,conditional-acceptance cue,Which gatekeeping condition is attached to acceptance before application and certification-sufficiency mapping?,Official/designated item required,"Only officially designated, supplied, or programme-approved items are accepted.","council-supplied bag, government-designated bag, official printed/grid bag",generic certified bags sold at retail without official designation,"\b(official|designated|provided|supplied|distributed|council[- ]?supplied|municipal[- ]?supplied|programme[- ]?supplied|approved|fournis?|approuv[ée]s?|distribu[ée]s?|fornit\w*|zugelassen|godkendt|hyv[äa]ksytty)\b.{0,140}\b(bag|liner|sack|item|product|sac|sachet|sacco|sacchetto|bolsa|saco|zak|zakje|pose|pussi|beutel)s?\b | (専用袋|指定袋|전용봉투|종량제봉투|专用袋|專用袋|oranžin\w*\s+maišel\w*)",No category-specific exclude regex.,"INCLUDE: \b(official|designated|provided|supplied|distributed|council[- ]?supplied|municipal[- ]?supplied|programme[- ]?supplied|approved|fournis?|approuv[ée]s?|distribu[ée]s?|fornit\w*|zugelassen|godkendt|hyv[äa]ksytty)\b.{0,140}\b(bag|liner|sack|item|product|sac|sachet|sacco|sacchetto|bolsa|saco|zak|zakje|pose|pussi|beutel)s?\b | (専用袋|指定袋|전용봉투|종량제봉투|专用袋|專用袋|oranžin\w*\s+maišel\w*) ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 3; exclusions are evaluated before inclusion for this category.
Intermediate decision input,conditional-acceptance cue,Which gatekeeping condition is attached to acceptance before application and certification-sufficiency mapping?,Approved/named list required,"Acceptance requires appearance on an approved, positive, or named-item list.","positive list, approved products list, named annex/list items",broad acceptance without list/annex/named item restriction,"\b(positive\s+list|approved\s+(product|item|list)|accepted\s+product\s+list|whitelist|named\s+items?|specific(?:ally)?\s+approved|only\s+(listed|named|specified|approved)|not\s+on\s+the\s+list|non\s+list[ée]s?)\b | \b(only|solo|seulement|nur|alleen)\b.{0,120}\b(approved|listed|named|specific|official|designated|autoris[ée]s?|zugelassen|goedgekeurd)",No category-specific exclude regex.,"INCLUDE: \b(positive\s+list|approved\s+(product|item|list)|accepted\s+product\s+list|whitelist|named\s+items?|specific(?:ally)?\s+approved|only\s+(listed|named|specified|approved)|not\s+on\s+the\s+list|non\s+list[ée]s?)\b | \b(only|solo|seulement|nur|alleen)\b.{0,120}\b(approved|listed|named|specific|official|designated|autoris[ée]s?|zugelassen|goedgekeurd) ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 4; exclusions are evaluated before inclusion for this category.
Intermediate decision input,conditional-acceptance cue,Which gatekeeping condition is attached to acceptance before application and certification-sufficiency mapping?,Controlled/dedicated context required,"Acceptance is limited to specific event, commercial, venue, or dedicated collection contexts.","event-only, commercial route only, dedicated collection only",ordinary household acceptance not limited to event/commercial/dedicated context,\b(closed[- ]?loop|event|festival|venue|stadium|commercial\s+collection|controlled\s+(system|collection)|dedicated\s+collection|back[- ]?of[- ]?house|food[- ]?service|monocharge)\b,No category-specific exclude regex.,INCLUDE: \b(closed[- ]?loop|event|festival|venue|stadium|commercial\s+collection|controlled\s+(system|collection)|dedicated\s+collection|back[- ]?of[- ]?house|food[- ]?service|monocharge)\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 5; exclusions are evaluated before inclusion for this category.
Intermediate decision input,conditional-acceptance cue,Which gatekeeping condition is attached to acceptance before application and certification-sufficiency mapping?,Generic compostable/biodegradable requirement,"Accepted items must at least be described as compostable or biodegradable, but no named standard or approval basis is detected.",See regex/rule examples for representative matched wording.,Cases outside the category definition are excluded; see regex/rule examples.,\b(compostable|biodegradable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostowaln\w*|biodegradowaln\w*|可堆肥|可降解|生分解|생분해)\b,No category-specific exclude regex.,INCLUDE: \b(compostable|biodegradable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostowaln\w*|biodegradowaln\w*|可堆肥|可降解|生分解|생분해)\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 6; exclusions are evaluated before inclusion for this category.
Intermediate decision input,conditional-acceptance cue,Which gatekeeping condition is attached to acceptance before application and certification-sufficiency mapping?,No additional condition stated,"No condition is specified, or the item/rule is not accepted. This indicator is retained as an intermediate input, not as a standalone headline result, because it overlaps conceptually with the derived certification-sufficiency indicator.","accepted route found, but no additional condition is stated","explicit certification, approval, official item, or context-specific condition",No direct include regex: category is assigned by fallback/default or derived mapping.,No category-specific exclude regex.,INCLUDE: No direct include regex: category is assigned by fallback/default or derived mapping. ; EXCLUDE: No category-specific exclude regex.,derived/fallback,Priority 7; exclusions are evaluated before inclusion for this category.
Source-level indicator,Certification and Approval Basis,"What standard, certification, label, or approval basis is mentioned as the upstream product-qualification or approval signal?",OK compost HOME / NF T 51-800 / AS 5810,Home-compostability standards and labels are mentioned.,"OK compost HOME, NF T 51-800, AS 5810, home-compostable mark",industrial-only EN 13432/OK compost industrial unless home standard also present,\bok\s*compost\s*home\b | \bhome[- ]?compostable|home\s*compostability\b | \bnf\s*t\s*51[- ]?800\b | \bas\s*5810\b,No category-specific exclude regex.,INCLUDE: \bok\s*compost\s*home\b | \bhome[- ]?compostable|home\s*compostability\b | \bnf\s*t\s*51[- ]?800\b | \bas\s*5810\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 1; exclusions are evaluated before inclusion for this category.
