citation_id,country_or_region,source_label,source_title,application_type,application_decision,Certification and Approval Basis,Source Authority,Stated Organic-waste Treatment Route,Acceptance,Rejection Rationale,certification_sufficiency_status,certification_sufficiency_score,certification_sufficiency_basis,certification_basis_type,certification_relevant_record,has_named_certification_or_approval,decision_basis,source_url
[14],Netherlands,Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Gft,Tea/coffee preparation items,Rejected,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,AD + composting,Rejected,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.radbv.nl/gft/
[14],Netherlands,Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Gft,Food-soiled paper / fibre packaging,Rejected,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,AD + composting,Rejected,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.radbv.nl/gft/
[14],Netherlands,Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Gft,Generic compostable packaging / plastics,Rejected,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,AD + composting,Rejected,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.radbv.nl/gft/
[15],Netherlands,Netherlands - Limburg South - RD4 / waste-company guidance,Direct naar de inhoud,Food-waste liners / collection bags,Rejected,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,Treatment route not stated,Rejected,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://rd4.nl/biozak
[16],Netherlands,Netherlands - Rotterdam - Gemeente Rotterdam / municipal sorting rule,Leestijd: 8 min,Food-service ware / takeaway packaging,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,AD + composting,Rejected,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.rotterdam.nl/groente-fruit-en-etensresten-en-tuinafval
[16],Netherlands,Netherlands - Rotterdam - Gemeente Rotterdam / municipal sorting rule,Leestijd: 8 min,Tea/coffee preparation items,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,AD + composting,Rejected,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.rotterdam.nl/groente-fruit-en-etensresten-en-tuinafval
[19],Belgium,Belgium - Brussels-Capital Region - Bruxelles-Proprete / municipal sorting rule,Sorting and recycling your waste,Food-service ware / takeaway packaging,Rejected,Government/programme approval,Municipal sorting rule,Other valorisation,Rejected,Pre-treatment/screening/equipment constraint,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.arp-gan.be/en/sorting
[19],Belgium,Belgium - Brussels-Capital Region - Bruxelles-Proprete / municipal sorting rule,Sorting and recycling your waste,Food-soiled paper / fibre packaging,Rejected,Government/programme approval,Municipal sorting rule,Other valorisation,Rejected,Pre-treatment/screening/equipment constraint,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.arp-gan.be/en/sorting
[23],Italy,Italy - Veneto / Contarina - Contarina / waste-management company,SPORTELLO ONLINE,Food-waste liners / collection bags,Accepted,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,Treatment route not stated,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://contarina.it/impresa/racolta-differenziata/sacchetti-e-imballaggi-in-materiale-compostabile-1
[23],Italy,Italy - Veneto / Contarina - Contarina / waste-management company,SPORTELLO ONLINE,Food-service ware / takeaway packaging,Accepted,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,Treatment route not stated,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://contarina.it/impresa/racolta-differenziata/sacchetti-e-imballaggi-in-materiale-compostabile-1
[23],Italy,Italy - Veneto / Contarina - Contarina / waste-management company,SPORTELLO ONLINE,Shopping/produce bags,Accepted,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,Treatment route not stated,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://contarina.it/impresa/racolta-differenziata/sacchetti-e-imballaggi-in-materiale-compostabile-1
[23],Italy,Italy - Veneto / Contarina - Contarina / waste-management company,SPORTELLO ONLINE,Generic compostable packaging / plastics,Accepted,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,Treatment route not stated,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://contarina.it/impresa/racolta-differenziata/sacchetti-e-imballaggi-in-materiale-compostabile-1
[24],Italy,Italy - National - Italian national bag rules / government-policy evidence,Divieto di commercializzazione dei sacchetti non biodegradabili e compostabili,Shopping/produce bags,Unclear or not stated,EN 13432 / OK compost / Seedling,National rule or policy,AD + composting,No explicit compostable-packaging rule,Not applicable - not a rejection/restriction case,Certification unclear or not stated,3,"The source mentions a certification, standard, or official approval basis, but the application-level decision is unclear or not stated.",certification_relevant,Yes,Yes,"Application is mentioned, but no explicit application-level acceptance or rejection decision is stated.",https://www.comitatoparchi.it/ambiente-ecologia/divieto-di-commercializzazione-dei-sacchetti-non-biodegradabili-e-compostabili/
[24],Italy,Italy - National - Italian national bag rules / government-policy evidence,Divieto di commercializzazione dei sacchetti non biodegradabili e compostabili,Generic compostable packaging / plastics,Unclear or not stated,EN 13432 / OK compost / Seedling,National rule or policy,AD + composting,No explicit compostable-packaging rule,Not applicable - not a rejection/restriction case,Certification unclear or not stated,3,"The source mentions a certification, standard, or official approval basis, but the application-level decision is unclear or not stated.",certification_relevant,Yes,Yes,"Application is mentioned, but no explicit application-level acceptance or rejection decision is stated.",https://www.comitatoparchi.it/ambiente-ecologia/divieto-di-commercializzazione-dei-sacchetti-non-biodegradabili-e-compostabili/
[26],Italy,Italy - Monza - Comune di Monza / MonzaPulita / municipal sorting rule,RISPETTIAMO IL PIANETA,Food-service ware / takeaway packaging,Accepted,EN 13432 / OK compost / Seedling,Municipal sorting rule,Treatment route not stated,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://www.monzapulita.it/interno.php?id=13
[26],Italy,Italy - Monza - Comune di Monza / MonzaPulita / municipal sorting rule,RISPETTIAMO IL PIANETA,Shopping/produce bags,Accepted,EN 13432 / OK compost / Seedling,Municipal sorting rule,Treatment route not stated,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://www.monzapulita.it/interno.php?id=13
[26],Italy,Italy - Monza - Comune di Monza / MonzaPulita / municipal sorting rule,RISPETTIAMO IL PIANETA,Generic compostable packaging / plastics,Accepted,EN 13432 / OK compost / Seedling,Municipal sorting rule,Treatment route not stated,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://www.monzapulita.it/interno.php?id=13
[28],Italy,Italy - Perugia - Comune di Perugia / GESENU / waste-company guidance,--- Page 1 ---,Food-service ware / takeaway packaging,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,AD + composting,Rejected,AD/biogas incompatibility,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.gesenu.it/MC-API/Risorse/StreamRisorsa.ashx?guid=d8fcef3f-5545-4da8-af7a-ad2377785c31
[28],Italy,Italy - Perugia - Comune di Perugia / GESENU / waste-company guidance,--- Page 1 ---,Flexible films/wraps/pouches,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,AD + composting,Rejected,AD/biogas incompatibility,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.gesenu.it/MC-API/Risorse/StreamRisorsa.ashx?guid=d8fcef3f-5545-4da8-af7a-ad2377785c31
[28],Italy,Italy - Perugia - Comune di Perugia / GESENU / waste-company guidance,--- Page 1 ---,Generic compostable packaging / plastics,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,AD + composting,Rejected,AD/biogas incompatibility,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.gesenu.it/MC-API/Risorse/StreamRisorsa.ashx?guid=d8fcef3f-5545-4da8-af7a-ad2377785c31
[29],Italy,Italy - Salerno - Salerno Pulita S.p.A. / waste-company guidance,Home,Food-service ware / takeaway packaging,Rejected,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,Treatment route not stated,Rejected,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.salernopulita.it/campagna-bioplastica-compostabile/
[29],Italy,Italy - Salerno - Salerno Pulita S.p.A. / waste-company guidance,Home,Generic compostable packaging / plastics,Rejected,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,Treatment route not stated,Rejected,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.salernopulita.it/campagna-bioplastica-compostabile/
[30],Italy,Italy - Borgo Virgilio - Comune di Borgo Virgilio / municipal sorting rule,Raccolta Organico -Sacchetti Biodegradabili Compostabili,Food-service ware / takeaway packaging,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Treatment route not stated,Collection liners only,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://comune.borgovirgilio.mn.it/it/page/raccolta-organico-sacchetti-biodegradabili-compostabili
[30],Italy,Italy - Borgo Virgilio - Comune di Borgo Virgilio / municipal sorting rule,Raccolta Organico -Sacchetti Biodegradabili Compostabili,Shopping/produce bags,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Treatment route not stated,Collection liners only,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://comune.borgovirgilio.mn.it/it/page/raccolta-organico-sacchetti-biodegradabili-compostabili
[30],Italy,Italy - Borgo Virgilio - Comune di Borgo Virgilio / municipal sorting rule,Raccolta Organico -Sacchetti Biodegradabili Compostabili,Flexible films/wraps/pouches,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Treatment route not stated,Collection liners only,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://comune.borgovirgilio.mn.it/it/page/raccolta-organico-sacchetti-biodegradabili-compostabili
[30],Italy,Italy - Borgo Virgilio - Comune di Borgo Virgilio / municipal sorting rule,Raccolta Organico -Sacchetti Biodegradabili Compostabili,Generic compostable packaging / plastics,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Treatment route not stated,Collection liners only,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://comune.borgovirgilio.mn.it/it/page/raccolta-organico-sacchetti-biodegradabili-compostabili
[39],United Kingdom,United Kingdom - England - UK Government / national government guidance,Guidance,Food-waste liners / collection bags,Accepted with conditions,Government/programme approval,National rule or policy,Treatment route not stated,Collection liners only,No compatible organic-treatment route,Certification conditionally accepted,1,"The source mentions a certification, standard, or official approval basis, but acceptance still depends on additional operational gatekeeping such as local/facility approval, official/designated items, positive-list inclusion, programme approval, event/commercial collection, or another controlled route.",certification_relevant,Yes,Yes,"Food-waste liners are accepted only as official/designated, locally/facility-approved, or otherwise restricted collection items.",https://www.gov.uk/guidance/simpler-recycling-household-recycling-in-england
[39],United Kingdom,United Kingdom - England - UK Government / national government guidance,Guidance,Tea/coffee preparation items,Rejected,Government/programme approval,National rule or policy,Treatment route not stated,Collection liners only,No compatible organic-treatment route,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.gov.uk/guidance/simpler-recycling-household-recycling-in-england
[39],United Kingdom,United Kingdom - England - UK Government / national government guidance,Guidance,Generic compostable packaging / plastics,Rejected,Government/programme approval,National rule or policy,Treatment route not stated,Collection liners only,No compatible organic-treatment route,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.gov.uk/guidance/simpler-recycling-household-recycling-in-england
[40],United Kingdom,United Kingdom - East Sussex - East Sussex County Council / municipal sorting rule,Food waste collections,Food-waste liners / collection bags,Accepted with conditions,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification conditionally accepted,1,"The source mentions a certification, standard, or official approval basis, but acceptance still depends on additional operational gatekeeping such as local/facility approval, official/designated items, positive-list inclusion, programme approval, event/commercial collection, or another controlled route.",certification_relevant,Yes,Yes,"Food-waste liners are accepted only as official/designated, locally/facility-approved, or otherwise restricted collection items.",https://www.eastsussex.gov.uk/rubbish-recycling/food-waste-collections
[40],United Kingdom,United Kingdom - East Sussex - East Sussex County Council / municipal sorting rule,Food waste collections,Tea/coffee preparation items,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.eastsussex.gov.uk/rubbish-recycling/food-waste-collections
[40],United Kingdom,United Kingdom - East Sussex - East Sussex County Council / municipal sorting rule,Food waste collections,Generic compostable packaging / plastics,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.eastsussex.gov.uk/rubbish-recycling/food-waste-collections
[42],United Kingdom,United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Food waste collection,Food-waste liners / collection bags,Accepted,EN 13432 / OK compost / Seedling,Municipal sorting rule,AD / biogas,Collection liners only,Compost/digestate quality or contamination concern,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,https://www.portsmouth.gov.uk/services/recycling-and-rubbish/recycling/food-waste-collection-service/
[42],United Kingdom,United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Food waste collection,Tea/coffee preparation items,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,AD / biogas,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.portsmouth.gov.uk/services/recycling-and-rubbish/recycling/food-waste-collection-service/
[42],United Kingdom,United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Food waste collection,Generic compostable packaging / plastics,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,AD / biogas,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.portsmouth.gov.uk/services/recycling-and-rubbish/recycling/food-waste-collection-service/
[44],Ireland,Ireland - National brown-bin guidance - MyWaste / official national guidance,The brown bin,Food-waste liners / collection bags,Accepted,EN 13432 / OK compost / Seedling,National rule or policy,AD + composting,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://mywaste.ie/dispose-waste/at-home/three-bin-system/brown-bin/
[44],Ireland,Ireland - National brown-bin guidance - MyWaste / official national guidance,The brown bin,Tea/coffee preparation items,Accepted,EN 13432 / OK compost / Seedling,National rule or policy,AD + composting,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://mywaste.ie/dispose-waste/at-home/three-bin-system/brown-bin/
[44],Ireland,Ireland - National brown-bin guidance - MyWaste / official national guidance,The brown bin,Generic compostable packaging / plastics,Accepted,EN 13432 / OK compost / Seedling,National rule or policy,AD + composting,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://mywaste.ie/dispose-waste/at-home/three-bin-system/brown-bin/
[47],United States,"United States - Seattle, Washington - Seattle Public Utilities / municipal rule",Business & Commercial Compostables - Food Service Packaging Requirements,Food-service ware / takeaway packaging,Accepted,BPI / ASTM / CMA,Municipal sorting rule,Composting,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://www.seattle.gov/utilities/your-services/collection-and-disposal/food-and-yard/business-and-commercial-compostables/food-packaging-requirements
[47],United States,"United States - Seattle, Washington - Seattle Public Utilities / municipal rule",Business & Commercial Compostables - Food Service Packaging Requirements,Flexible films/wraps/pouches,Accepted,BPI / ASTM / CMA,Municipal sorting rule,Composting,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://www.seattle.gov/utilities/your-services/collection-and-disposal/food-and-yard/business-and-commercial-compostables/food-packaging-requirements
[47],United States,"United States - Seattle, Washington - Seattle Public Utilities / municipal rule",Business & Commercial Compostables - Food Service Packaging Requirements,Generic compostable packaging / plastics,Accepted,BPI / ASTM / CMA,Municipal sorting rule,Composting,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://www.seattle.gov/utilities/your-services/collection-and-disposal/food-and-yard/business-and-commercial-compostables/food-packaging-requirements
