citation_id,country_or_region,subnational_or_context,source_label,source_title,source_url,Source Authority,Stated Organic-waste Treatment Route,Treatment Route Coding Note,Acceptance,Certification and Approval Basis,Rejection Rationale,Application Groups Detected,Source-level Sensitivity Group
[11],Netherlands,Roosendaal / Saver service area,Netherlands - Roosendaal / Saver service area - Saver NV / waste-company guidance,Hoe gebruik ik composteerbare zakjes? | Saver,https://saver.nl/nieuws-gebruik-composteerbare-zakjes,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags; Food-service ware / takeaway packaging,Sources below national level
[12],Netherlands,National,Netherlands - National - VANG-HHA / Rijkswaterstaat-linked guidance / national government guidance,--- Page 1 ---,https://vang-hha.nl/publish/pages/195563/qena-wat-mag-wel-en-niet-in-de-afvalbak-120324.pdf,National rule or policy,AD/biogas + composting,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Tea/coffee preparation items; Generic compostable packaging / plastics,National/supranational sources
[13],Netherlands,Maashorst,Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Voorlezen,https://www.gemeentemaashorst.nl/inwoners/afval/tips/wat-mag-niet-in-de-gfte-container/,Municipal sorting rule,Composting,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,Slow degradation / residence-time mismatch,Food-waste liners / collection bags; Food-service ware / takeaway packaging; Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[14],Netherlands,Hoeksche Waard / BAR area,Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Gft,https://www.radbv.nl/gft/,Waste operator or treatment-facility rule,AD/biogas + composting,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[15],Netherlands,Limburg South,Netherlands - Limburg South - RD4 / waste-company guidance,Direct naar de inhoud,https://rd4.nl/biozak,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,EN 13432 / OK compost / Seedling,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[16],Netherlands,Rotterdam,Netherlands - Rotterdam - Gemeente Rotterdam / municipal sorting rule,Leestijd: 8 min,https://www.rotterdam.nl/groente-fruit-en-etensresten-en-tuinafval,Municipal sorting rule,AD/biogas + composting,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Food-service ware / takeaway packaging; Tea/coffee preparation items,Sources below national level
[17],Netherlands,Twente Region,Netherlands - Twente Region - Twente Milieu / waste-company guidance,"Wel/niet lijst voor gft-afval (GFT, GFT-E, GFE)",https://vang-hha.nl/,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Reason not explicitly stated,Tea/coffee preparation items; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[18],Belgium,Flanders,Belgium - Flanders - OVAM / regional government guidance,Bioplastics,https://ovam.vlaanderen.be/bioplastics,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Reason not explicitly stated,Generic compostable packaging / plastics,Sources below national level
[19],Belgium,Brussels-Capital Region,Belgium - Brussels-Capital Region - Bruxelles-Proprete / municipal sorting rule,Sorting and recycling your waste,https://www.arp-gan.be/en/sorting,Municipal sorting rule,Other organic recovery,Named downstream treatment route detected,Rejected,Government/programme approval,Pre-treatment/screening/equipment constraint,Food-service ware / takeaway packaging; Food-soiled paper / fibre packaging,Sources below national level
[20],France,National,France - National - ADEME / government advisory,Accueil,https://www.ademe.fr/presse/communique-national/avis-de-lademe-les-limites-des-emballages-en-plastique-compostables/,National rule or policy,AD/biogas + composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,AD/biogas incompatibility,Food-service ware / takeaway packaging; Tea/coffee preparation items; Generic compostable packaging / plastics,National/supranational sources
[21],France,Paris,France - Paris - Ville de Paris / municipal sorting rule,Comment trier ses déchets alimentaires à Paris ?,https://www.paris.fr/pages/le-tri-des-dechets-alimentaires-a-paris-24842,Municipal sorting rule,AD/biogas only,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items,Sources below national level
[22],France,Lyon Metropole,France - Lyon Metropole - Metropole de Lyon / municipal sorting rule,Vos questions sur les bornes à compost,https://www.grandlyon.com/mes-services-au-quotidien/gerer-ses-dechets/utiliser-une-borne-a-compost/vos-questions-sur-les-bornes-a-compost,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Food-service ware / takeaway packaging; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[23],Italy,Veneto / Contarina,Italy - Veneto / Contarina - Contarina / waste-management company,SPORTELLO ONLINE,https://contarina.it/impresa/racolta-differenziata/sacchetti-e-imballaggi-in-materiale-compostabile-1,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Accepted broadly,EN 13432 / OK compost / Seedling,Not applicable - not a rejection/restriction case,Food-waste liners / collection bags; Food-service ware / takeaway packaging; Shopping/produce bags; Generic compostable packaging / plastics,Sources below national level
[24],Italy,National,Italy - National - Italian national bag rules / government-policy evidence,Divieto di commercializzazione dei sacchetti non biodegradabili e compostabili,https://www.comitatoparchi.it/ambiente-ecologia/divieto-di-commercializzazione-dei-sacchetti-non-biodegradabili-e-compostabili/,National rule or policy,AD/biogas + composting,Named downstream treatment route detected,No explicit compostable-packaging rule,EN 13432 / OK compost / Seedling,Not applicable - not a rejection/restriction case,Shopping/produce bags; Generic compostable packaging / plastics,National/supranational sources
[25],Italy,Milan,Italy - Milan - Comune di Milano / municipal policy document,--- Page 1 ---,https://www.comune.milano.it/documents/20118/59850/DELIBERAZIONE+GIUNTA+COMUNALE+N.+_1248_+DEL+26.07.2019.pdf/a8a708b7-0ad4-84d4-10d6-ec9f2ad5542f?version=1.0&t=1757940706037&download=true,Municipal sorting rule,AD/biogas only,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,AD/biogas incompatibility,Organic-waste system context only,Sources below national level
[26],Italy,Monza,Italy - Monza - Comune di Monza / MonzaPulita / municipal sorting rule,RISPETTIAMO IL PIANETA,https://www.monzapulita.it/interno.php?id=13,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Accepted broadly,EN 13432 / OK compost / Seedling,Not applicable - not a rejection/restriction case,Food-service ware / takeaway packaging; Shopping/produce bags; Generic compostable packaging / plastics,Sources below national level
[27],Italy,Buccinasco,Italy - Buccinasco - Comune di Buccinasco / municipal sorting rule,Eco(R)esistenza,https://www.comune.buccinasco.mi.it/it/page/trasparenza-servizio-gestione-rifiuti,Municipal sorting rule,AD/biogas only,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags; Food-service ware / takeaway packaging; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[28],Italy,Perugia,Italy - Perugia - Comune di Perugia / GESENU / waste-company guidance,--- Page 1 ---,https://www.gesenu.it/MC-API/Risorse/StreamRisorsa.ashx?guid=d8fcef3f-5545-4da8-af7a-ad2377785c31,Municipal sorting rule,AD/biogas + composting,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,AD/biogas incompatibility,Food-service ware / takeaway packaging; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[29],Italy,Salerno,Italy - Salerno - Salerno Pulita S.p.A. / waste-company guidance,Home,https://www.salernopulita.it/campagna-bioplastica-compostabile/,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,EN 13432 / OK compost / Seedling,Reason not explicitly stated,Food-service ware / takeaway packaging; Generic compostable packaging / plastics,Sources below national level
[30],Italy,Borgo Virgilio,Italy - Borgo Virgilio - Comune di Borgo Virgilio / municipal sorting rule,Raccolta Organico -Sacchetti Biodegradabili Compostabili,https://comune.borgovirgilio.mn.it/it/page/raccolta-organico-sacchetti-biodegradabili-compostabili,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,EN 13432 / OK compost / Seedling,Reason not explicitly stated,Food-service ware / takeaway packaging; Shopping/produce bags; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[31],Spain,Madrid,Spain - Madrid - Ayuntamiento de Madrid / municipal FAQ,Volver,https://www.madrid.es/portales/munimadrid/es/Inicio/Medio-ambiente/Recogida-de-residuos/Preguntas-frecuentes-sobre-la-recogida-de-residuos-organicos/?vgnextchannel=f81379ed268fe410VgnVCM1000000b205a0aRCRD&vgnextfmt=default&vgnextoid=28f179e15d7ee510VgnVCM2000001f4a900aRCRD,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags; Generic compostable packaging / plastics,Sources below national level
[32],Austria,Vienna,Austria - Vienna - Abfallberatung Wien / municipal guidance,Biokunststoffe,https://abfallberatung.wien.gv.at/biokunststoffe/,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,EN 13432 / OK compost / Seedling,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[33],Austria,Upper Austria / Gmunden,Austria - Upper Austria / Gmunden - Bezirksabfallverband Gmunden / regional rule,Gmunden,https://www.umweltprofis.at/gmunden/aktuelles/nachrichten_detail/n/detail/News/wie_ich_die_biotonne_richtig_befuelle.html,"State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,EN 13432 / OK compost / Seedling,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[34],Sweden,Stockholm,Sweden - Stockholm - Stockholm Vatten och Avfall / municipal sorting rules,Börjar matavfallspåsarna ta slut?,https://www.stockholmvattenochavfall.se/artiklar-listsida/avfall---sortering-och-atervinning/matavfallspasar/,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,No named standard/approval stated,No compatible organic-treatment route,Food-waste liners / collection bags,Sources below national level
[35],Finland,Helsinki region,Finland - Helsinki region - HSY / regional public utility guidance,Biowaste,https://www.hsy.fi/en/waste-and-recycling/waste-guide/sorting/biowaste/,Waste operator or treatment-facility rule,AD/biogas + composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[36],United Kingdom,UK-wide,United Kingdom - UK-wide - WRAP / Recycle Now guidance,18 June 2025,https://www.wrap.ngo/resources/guide/considerations-compostable-plastic-packaging,National rule or policy,Composting,Named downstream treatment route detected,No clear organics route,Generic compostable/biodegradable wording only,No compatible organic-treatment route,Flexible films/wraps/pouches; Generic compostable packaging / plastics,National/supranational sources
[37],United Kingdom,London Borough of Camden,United Kingdom - London Borough of Camden - Camden Council / municipal sorting rule,Recycling your food waste,https://www.camden.gov.uk/recycling-your-food-waste,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,No compatible organic-treatment route,Food-waste liners / collection bags; Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[38],United Kingdom,Manchester,United Kingdom - Manchester - Manchester City Council / municipal sorting rule,"Bins, rubbish and recycling",https://www.manchester.gov.uk/bins-rubbish-and-recycling/blue-bins-bags-and-containers/green-bins-containers-and-boxes,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags; Tea/coffee preparation items,Sources below national level
[39],United Kingdom,England,United Kingdom - England - UK Government / national government guidance,Guidance,https://www.gov.uk/guidance/simpler-recycling-household-recycling-in-england,National rule or policy,Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,Government/programme approval,No compatible organic-treatment route,Food-waste liners / collection bags; Tea/coffee preparation items; Generic compostable packaging / plastics,National/supranational sources
[40],United Kingdom,East Sussex,United Kingdom - East Sussex - East Sussex County Council / municipal sorting rule,Food waste collections,https://www.eastsussex.gov.uk/rubbish-recycling/food-waste-collections,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[41],United Kingdom,Cornwall,United Kingdom - Cornwall - Cornwall Council / municipal sorting rule,Food waste,https://www.cornwall.gov.uk/rubbish-recycling-and-waste/recycling-and-rubbish-collections/how-to-use-your-new-food-waste-recycling-service/,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Food-service ware / takeaway packaging,Sources below national level
[42],United Kingdom,Portsmouth,United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Food waste collection,https://www.portsmouth.gov.uk/services/recycling-and-rubbish/recycling/food-waste-collection-service/,Municipal sorting rule,AD/biogas only,Named downstream treatment route detected,Collection liners only,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[43],United Kingdom,Lichfield,United Kingdom - Lichfield - Lichfield District Council / municipal sorting rule,All about the new food waste service,https://www.lichfielddc.gov.uk/food-waste-3/food-waste/5,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,Generic compostable/biodegradable wording only,Pre-treatment/screening/equipment constraint,Food-waste liners / collection bags,Sources below national level
[44],Ireland,National brown-bin guidance,Ireland - National brown-bin guidance - MyWaste / official national guidance,The brown bin,https://mywaste.ie/dispose-waste/at-home/three-bin-system/brown-bin/,National rule or policy,AD/biogas + composting,Named downstream treatment route detected,Accepted broadly,EN 13432 / OK compost / Seedling,Not applicable - not a rejection/restriction case,Food-waste liners / collection bags; Tea/coffee preparation items; Generic compostable packaging / plastics,National/supranational sources
[45],Switzerland,Federal / local varies,Switzerland - Federal / local varies - FOEN/BAFU / federal guidance,Veröffentlicht am 24. März 2017,https://www.bafu.admin.ch/de/biokunststoff-alles-abbaubar,National rule or policy,AD/biogas + composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,AD/biogas incompatibility,Generic compostable packaging / plastics,National/supranational sources
[46],United States,"San Francisco, California","United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance",What Goes Where,https://www.recology.com/recology-san-francisco/what-goes-where/,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Accepted broadly,Generic compostable/biodegradable wording only,Not applicable - not a rejection/restriction case,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Flexible films/wraps/pouches,Sources below national level
[47],United States,"Seattle, Washington","United States - Seattle, Washington - Seattle Public Utilities / municipal rule",Business & Commercial Compostables - Food Service Packaging Requirements,https://www.seattle.gov/utilities/your-services/collection-and-disposal/food-and-yard/business-and-commercial-compostables/food-packaging-requirements,Municipal sorting rule,Composting,Named downstream treatment route detected,Accepted broadly,BPI / ASTM / CMA,Not applicable - not a rejection/restriction case,Food-service ware / takeaway packaging; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[48],United States,"Hennepin County, Minnesota","United States - Hennepin County, Minnesota - Hennepin County / regional government guidance",Environment,https://www.hennepincounty.gov/services/environment/recycling/at-home-recycling/organics-recycling-home,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,Accepted broadly,BPI / ASTM / CMA,Not applicable - not a rejection/restriction case,Tea/coffee preparation items; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[49],United States,Minnesota,United States - Minnesota - Minnesota Pollution Control Agency / regional government guidance,Why should I take advantage of organics recycling in my community?,https://www.pca.state.mn.us/air-water-land-climate/frequently-asked-questions-about-organics-recycling,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,No clear organics route,BPI / ASTM / CMA,No compatible organic-treatment route,Food-service ware / takeaway packaging; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[50],United States,"Woodland, California","United States - Woodland, California - City of Woodland / municipal sorting rule",Skip to Main Content,https://www.cityofwoodland.gov/731/Residential-Organics-Recycling,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,BPI / ASTM / CMA,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[51],United States,"San Antonio, Texas","United States - San Antonio, Texas - City of San Antonio / municipal sorting rule",opens in new tab or window,https://www.sa.gov/Directory/Departments/SWMD/Recycling-Organics/Organics,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,Government/programme approval,Slow degradation / residence-time mismatch,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[52],United States,"Boulder County, Colorado","United States - Boulder County, Colorado - Boulder County / A1 Organics-linked guidance / regional government guidance",Skip to menu,https://bouldercounty.gov/environment/composting/composting-changes-faqs/,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,No compatible organic-treatment route,Food-service ware / takeaway packaging; Generic compostable packaging / plastics,Sources below national level
[53],Canada,"Toronto, Ontario","Canada - Toronto, Ontario - City of Toronto / municipal organics guide",--- Page 1 ---,https://www.toronto.ca/wp-content/uploads/2024/04/9632-CS-24-0110GreenBinOrganicsGuide-April-2024-AODA.pdf,"State, provincial, regional, or canton rule",AD/biogas + composting,Named downstream treatment route detected,Accepted broadly,Generic compostable/biodegradable wording only,Not applicable - not a rejection/restriction case,Food-waste liners / collection bags; Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[54],Canada,"Vancouver, British Columbia","Canada - Vancouver, British Columbia - City of Vancouver / municipal sorting guide",Skip to content,https://vancouver.ca/home-property-development/green-bin-composting-food-scraps-and-yard-waste.aspx,Municipal sorting rule,Composting,Named downstream treatment route detected,Accepted broadly,Generic compostable/biodegradable wording only,Not applicable - not a rejection/restriction case,Tea/coffee preparation items; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[55],Canada,"Calgary, Alberta","Canada - Calgary, Alberta - City of Calgary / municipal guidance",Information,https://www.calgary.ca/waste/residential/compostable-bags-liners.html,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Explicit no-packaging / positive-list restriction,Food-waste liners / collection bags; Generic compostable packaging / plastics,Sources below national level
[56],Canada,Montreal / Lachine borough,Canada - Montreal / Lachine borough - Lachine Borough / municipal FAQ,--- Page 1 ---,http://grame.org/FAQ_EN2.pdf,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Pre-treatment/screening/equipment constraint,Food-waste liners / collection bags; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[57],Canada,"London, Ontario","Canada - London, Ontario - City of London / municipal sorting rule",Green Bin,https://london.ca/living-london/garbage-recycling/green-bin,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,BPI / ASTM / CMA,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[58],Canada,"Richmond, British Columbia","Canada - Richmond, British Columbia - City of Richmond / municipal sorting rule",Green Cart Recycling,https://www.richmond.ca/services/recycling-garbage/foodyardwaste/greencart.htm,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Government/programme approval,AD/biogas incompatibility,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[59],Canada,"Saskatoon, Saskatchewan","Canada - Saskatoon, Saskatchewan - City of Saskatoon / municipal sorting rule",Services for Residents,https://www.saskatoon.ca/services-residents/waste-recycling/organics-food-yard-waste/curbside-organics-green-cart,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,BPI / ASTM / CMA,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[60],Canada,"Niagara Region, Ontario","Canada - Niagara Region, Ontario - Niagara Region / regional government guidance",Acceptable Compostable Bags and Where to Buy Them,https://www.niagararegion.ca/waste/containers/compostable-bags.aspx,"State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,BPI / ASTM / CMA,Reason not explicitly stated,Food-service ware / takeaway packaging; Shopping/produce bags; Generic compostable packaging / plastics,Sources below national level
[61],Canada,"Manicouagan, Québec","Canada - Manicouagan, Québec - Régie de gestion des matières résiduelles Manicouagan / composting facility rule",Bac brun,https://regiemanicouagan.qc.ca/services/collectes/bac-brun/,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-service ware / takeaway packaging,Sources below national level
[62],Canada,Province of Quebec (General Municipal Guidance),Canada - Province of Quebec (General Municipal Guidance) - RECYC-QUÉBEC / Bureau de normalisation du Québec (BNQ) / regional government guidance,RECYC-QUÉBEC - Notre guide d'utilisation des sacs : choisir le bon,https://www.recyc-quebec.gouv.qc.ca/municipalites/matieres-organiques/participation-citoyenne/guide-utilisation-sacs,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,BPI / ASTM / CMA,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Generic compostable packaging / plastics,Sources below national level
[63],Australia,New South Wales,Australia - New South Wales - NSW EPA / state government FOGO guidance,FOGO information for households,https://www.epa.nsw.gov.au/Your-environment/Recycling-and-reuse/household-recycling-overview/FOGO-information-for-households,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,Collection liners only,OK compost HOME / NF T 51-800 / AS 5810,Pre-treatment/screening/equipment constraint,Food-waste liners / collection bags; Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[64],Australia,City of Sydney,Australia - City of Sydney - City of Sydney / municipal food-scraps service,Skip to content,https://www.cityofsydney.nsw.gov.au/waste-recycling-services/prepare-for-your-food-scraps-recycling-collection,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Reason not explicitly stated,Food-waste liners / collection bags; Tea/coffee preparation items; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[65],Australia,"Melbourne and Manningham, Victoria","Australia - Melbourne and Manningham, Victoria - City of Melbourne + Manningham / municipal FOGO rules",Food and garden organics,https://www.melbourne.vic.gov.au/food-and-garden-organics-service,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,OK compost HOME / NF T 51-800 / AS 5810,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Food-service ware / takeaway packaging,Sources below national level
